senario,EV,Arrival,Depart,Type,BatteryCapacity,Distance,Demand,alloc_charger,delay
122,1,10.0,19.0,suv,54,25.0,14.0,11,0
122,2,6.0,19.0,sedan,24,39.0,17.0,11,0
122,3,8.0,15.0,sedan,24,59.0,24,NAN,0
122,4,8.0,22.0,suv,54,53.0,30.0,11,0
122,5,10.0,17.0,small,16,43.0,16,11,0
122,6,8.0,19.0,sedan,24,50.0,21.0,11,0
122,7,6.0,16.0,small,16,19.0,7.0,11,0
122,8,11.0,16.0,suv,54,58.0,33.0,11,0
122,9,7.0,17.0,truck,70,29.0,24.0,11,0
122,10,11.0,20.0,truck,70,58.0,47.0,NAN,0
123,1,10.0,19.0,suv,54,25.0,14.0,11,0
123,2,6.0,19.0,sedan,24,39.0,17.0,11,0
123,3,8.0,15.0,sedan,24,59.0,24,NAN,0
123,4,8.0,22.0,suv,54,53.0,30.0,11,0
123,5,10.0,17.0,small,16,43.0,16,11,0
123,6,8.0,19.0,sedan,24,50.0,21.0,11,0
123,7,6.0,16.0,small,16,19.0,7.0,11,0
123,8,11.0,16.0,suv,54,58.0,33.0,11,0
123,9,7.0,17.0,truck,70,29.0,24.0,11,0
123,10,11.0,20.0,truck,70,58.0,47.0,NAN,0
124,1,10.0,19.0,suv,54,25.0,14.0,11,0
124,2,6.0,19.0,sedan,24,39.0,17.0,11,0
124,3,8.0,15.0,sedan,24,59.0,24,NAN,0
124,4,8.0,22.0,suv,54,53.0,30.0,11,0
124,5,10.0,17.0,small,16,43.0,16,11,0
124,6,8.0,19.0,sedan,24,50.0,21.0,11,0
124,7,6.0,16.0,small,16,19.0,7.0,11,0
124,8,11.0,16.0,suv,54,58.0,33.0,11,0
124,9,7.0,17.0,truck,70,29.0,24.0,11,0
124,10,11.0,20.0,truck,70,58.0,47.0,NAN,0
125,1,10.0,19.0,suv,54,25.0,14.0,11,0
125,2,6.0,19.0,sedan,24,39.0,17.0,11,0
125,3,8.0,15.0,sedan,24,59.0,24,NAN,0
125,4,8.0,22.0,suv,54,53.0,30.0,11,0
125,5,10.0,17.0,small,16,43.0,16,11,0
125,6,8.0,19.0,sedan,24,50.0,21.0,11,0
125,7,6.0,16.0,small,16,19.0,7.0,11,0
125,8,11.0,16.0,suv,54,58.0,33.0,11,0
125,9,7.0,17.0,truck,70,29.0,24.0,11,0
125,10,11.0,20.0,truck,70,58.0,47.0,NAN,0
126,1,10.0,19.0,suv,54,25.0,14.0,11,0
126,2,6.0,19.0,sedan,24,39.0,17.0,11,0
126,3,8.0,15.0,sedan,24,59.0,24,NAN,0
126,4,8.0,22.0,suv,54,53.0,30.0,11,0
126,5,10.0,17.0,small,16,43.0,16,11,0
126,6,8.0,19.0,sedan,24,50.0,21.0,11,0
126,7,6.0,16.0,small,16,19.0,7.0,11,0
126,8,11.0,16.0,suv,54,58.0,33.0,11,0
126,9,7.0,17.0,truck,70,29.0,24.0,11,0
126,10,11.0,20.0,truck,70,58.0,47.0,NAN,0
127,1,10.0,19.0,suv,54,25.0,14.0,11,0
127,2,6.0,19.0,sedan,24,39.0,17.0,11,0
127,3,8.0,15.0,sedan,24,59.0,24,NAN,0
127,4,8.0,22.0,suv,54,53.0,30.0,11,0
127,5,10.0,17.0,small,16,43.0,16,11,0
127,6,8.0,19.0,sedan,24,50.0,21.0,11,0
127,7,6.0,16.0,small,16,19.0,7.0,11,0
127,8,11.0,16.0,suv,54,58.0,33.0,11,0
127,9,7.0,17.0,truck,70,29.0,24.0,11,0
127,10,11.0,20.0,truck,70,58.0,47.0,NAN,0
128,1,10.0,19.0,suv,54,25.0,14.0,11,0
128,2,6.0,19.0,sedan,24,39.0,17.0,11,0
128,3,8.0,15.0,sedan,24,59.0,24,NAN,0
128,4,8.0,22.0,suv,54,53.0,30.0,11,0
128,5,10.0,17.0,small,16,43.0,16,11,0
128,6,8.0,19.0,sedan,24,50.0,21.0,11,0
128,7,6.0,16.0,small,16,19.0,7.0,11,0
128,8,11.0,16.0,suv,54,58.0,33.0,11,0
128,9,7.0,17.0,truck,70,29.0,24.0,11,0
128,10,11.0,20.0,truck,70,58.0,47.0,NAN,0
129,1,10.0,19.0,suv,54,25.0,14.0,11,0
129,2,6.0,19.0,sedan,24,39.0,17.0,11,0
129,3,8.0,15.0,sedan,24,59.0,24,NAN,0
129,4,8.0,22.0,suv,54,53.0,30.0,11,0
129,5,10.0,17.0,small,16,43.0,16,11,0
129,6,8.0,19.0,sedan,24,50.0,21.0,11,0
129,7,6.0,16.0,small,16,19.0,7.0,11,0
129,8,11.0,16.0,suv,54,58.0,33.0,11,0
129,9,7.0,17.0,truck,70,29.0,24.0,11,0
129,10,11.0,20.0,truck,70,58.0,47.0,NAN,0
130,1,10.0,19.0,suv,54,25.0,14.0,11,0
130,2,6.0,19.0,sedan,24,39.0,17.0,11,0
130,3,8.0,15.0,sedan,24,59.0,24,NAN,0
130,4,8.0,22.0,suv,54,53.0,30.0,11,0
130,5,10.0,17.0,small,16,43.0,16,11,0
130,6,8.0,19.0,sedan,24,50.0,21.0,11,0
130,7,6.0,16.0,small,16,19.0,7.0,11,0
130,8,11.0,16.0,suv,54,58.0,33.0,11,0
130,9,7.0,17.0,truck,70,29.0,24.0,11,0
130,10,11.0,20.0,truck,70,58.0,47.0,NAN,0
131,1,10.0,19.0,suv,54,25.0,14.0,11,0
131,2,6.0,19.0,sedan,24,39.0,17.0,11,0
131,3,8.0,15.0,sedan,24,59.0,24,NAN,0
131,4,8.0,22.0,suv,54,53.0,30.0,11,0
131,5,10.0,17.0,small,16,43.0,16,11,0
131,6,8.0,19.0,sedan,24,50.0,21.0,11,0
131,7,6.0,16.0,small,16,19.0,7.0,11,0
131,8,11.0,16.0,suv,54,58.0,33.0,11,0
131,9,7.0,17.0,truck,70,29.0,24.0,11,0
131,10,11.0,20.0,truck,70,58.0,47.0,NAN,0
132,1,10.0,19.0,suv,54,25.0,14.0,11,0
132,2,6.0,19.0,sedan,24,39.0,17.0,11,0
132,3,8.0,15.0,sedan,24,59.0,24,NAN,0
132,4,8.0,22.0,suv,54,53.0,30.0,11,0
132,5,10.0,17.0,small,16,43.0,16,11,0
132,6,8.0,19.0,sedan,24,50.0,21.0,11,0
132,7,6.0,16.0,small,16,19.0,7.0,11,0
132,8,11.0,16.0,suv,54,58.0,33.0,11,0
132,9,7.0,17.0,truck,70,29.0,24.0,11,0
132,10,11.0,20.0,truck,70,58.0,47.0,NAN,0
133,1,10.0,19.0,suv,54,25.0,14.0,11,0
133,2,6.0,19.0,sedan,24,39.0,17.0,11,0
133,3,8.0,15.0,sedan,24,59.0,24,NAN,0
133,4,8.0,22.0,suv,54,53.0,30.0,11,0
133,5,10.0,17.0,small,16,43.0,16,11,0
133,6,8.0,19.0,sedan,24,50.0,21.0,11,0
133,7,6.0,16.0,small,16,19.0,7.0,11,0
133,8,11.0,16.0,suv,54,58.0,33.0,11,0
133,9,7.0,17.0,truck,70,29.0,24.0,11,0
133,10,11.0,20.0,truck,70,58.0,47.0,NAN,0
134,1,10.0,19.0,suv,54,25.0,14.0,11,0
134,2,6.0,19.0,sedan,24,39.0,17.0,11,0
134,3,8.0,15.0,sedan,24,59.0,24,NAN,0
134,4,8.0,22.0,suv,54,53.0,30.0,11,0
134,5,10.0,17.0,small,16,43.0,16,11,0
134,6,8.0,19.0,sedan,24,50.0,21.0,11,0
134,7,6.0,16.0,small,16,19.0,7.0,11,0
134,8,11.0,16.0,suv,54,58.0,33.0,11,0
134,9,7.0,17.0,truck,70,29.0,24.0,11,0
134,10,11.0,20.0,truck,70,58.0,47.0,NAN,0
135,1,10.0,19.0,suv,54,25.0,14.0,11,0
135,2,6.0,19.0,sedan,24,39.0,17.0,11,0
135,3,8.0,15.0,sedan,24,59.0,24,NAN,0
135,4,8.0,22.0,suv,54,53.0,30.0,11,0
135,5,10.0,17.0,small,16,43.0,16,11,0
135,6,8.0,19.0,sedan,24,50.0,21.0,11,0
135,7,6.0,16.0,small,16,19.0,7.0,11,0
135,8,11.0,16.0,suv,54,58.0,33.0,11,0
135,9,7.0,17.0,truck,70,29.0,24.0,11,0
135,10,11.0,20.0,truck,70,58.0,47.0,NAN,0
136,1,10.0,19.0,suv,54,25.0,14.0,11,0
136,2,6.0,19.0,sedan,24,39.0,17.0,11,0
136,3,8.0,15.0,sedan,24,59.0,24,NAN,0
136,4,8.0,22.0,suv,54,53.0,30.0,11,0
136,5,10.0,17.0,small,16,43.0,16,11,0
136,6,8.0,19.0,sedan,24,50.0,21.0,11,0
136,7,6.0,16.0,small,16,19.0,7.0,11,0
136,8,11.0,16.0,suv,54,58.0,33.0,11,0
136,9,7.0,17.0,truck,70,29.0,24.0,11,0
136,10,11.0,20.0,truck,70,58.0,47.0,NAN,0
137,1,10.0,19.0,suv,54,25.0,14.0,11,0
137,2,6.0,19.0,sedan,24,39.0,17.0,11,0
137,3,8.0,15.0,sedan,24,59.0,24,NAN,0
137,4,8.0,22.0,suv,54,53.0,30.0,11,0
137,5,10.0,17.0,small,16,43.0,16,11,0
137,6,8.0,19.0,sedan,24,50.0,21.0,11,0
137,7,6.0,16.0,small,16,19.0,7.0,11,0
137,8,11.0,16.0,suv,54,58.0,33.0,11,0
137,9,7.0,17.0,truck,70,29.0,24.0,11,0
137,10,11.0,20.0,truck,70,58.0,47.0,NAN,0
138,1,10.0,19.0,suv,54,25.0,14.0,11,0
138,2,6.0,19.0,sedan,24,39.0,17.0,11,0
138,3,8.0,15.0,sedan,24,59.0,24,NAN,0
138,4,8.0,22.0,suv,54,53.0,30.0,11,0
138,5,10.0,17.0,small,16,43.0,16,11,0
138,6,8.0,19.0,sedan,24,50.0,21.0,11,0
138,7,6.0,16.0,small,16,19.0,7.0,11,0
138,8,11.0,16.0,suv,54,58.0,33.0,11,0
138,9,7.0,17.0,truck,70,29.0,24.0,11,0
138,10,11.0,20.0,truck,70,58.0,47.0,NAN,0
139,1,10.0,19.0,suv,54,25.0,14.0,11,0
139,2,6.0,19.0,sedan,24,39.0,17.0,11,0
139,3,8.0,15.0,sedan,24,59.0,24,NAN,0
139,4,8.0,22.0,suv,54,53.0,30.0,11,0
139,5,10.0,17.0,small,16,43.0,16,11,0
139,6,8.0,19.0,sedan,24,50.0,21.0,11,0
139,7,6.0,16.0,small,16,19.0,7.0,11,0
139,8,11.0,16.0,suv,54,58.0,33.0,11,0
139,9,7.0,17.0,truck,70,29.0,24.0,11,0
139,10,11.0,20.0,truck,70,58.0,47.0,NAN,0
140,1,10.0,19.0,suv,54,25.0,14.0,11,0
140,2,6.0,19.0,sedan,24,39.0,17.0,11,0
140,3,8.0,15.0,sedan,24,59.0,24,NAN,0
140,4,8.0,22.0,suv,54,53.0,30.0,11,0
140,5,10.0,17.0,small,16,43.0,16,11,0
140,6,8.0,19.0,sedan,24,50.0,21.0,11,0
140,7,6.0,16.0,small,16,19.0,7.0,11,0
140,8,11.0,16.0,suv,54,58.0,33.0,11,0
140,9,7.0,17.0,truck,70,29.0,24.0,11,0
140,10,11.0,20.0,truck,70,58.0,47.0,NAN,0
141,1,10.0,19.0,suv,54,25.0,14.0,11,0
141,2,6.0,19.0,sedan,24,39.0,17.0,11,0
141,3,8.0,15.0,sedan,24,59.0,24,NAN,0
141,4,8.0,22.0,suv,54,53.0,30.0,11,0
141,5,10.0,17.0,small,16,43.0,16,11,0
141,6,8.0,19.0,sedan,24,50.0,21.0,11,0
141,7,6.0,16.0,small,16,19.0,7.0,11,0
141,8,11.0,16.0,suv,54,58.0,33.0,11,0
141,9,7.0,17.0,truck,70,29.0,24.0,11,0
141,10,11.0,20.0,truck,70,58.0,47.0,NAN,0
142,1,10.0,19.0,suv,54,25.0,14.0,11,0
142,2,6.0,19.0,sedan,24,39.0,17.0,11,0
142,3,8.0,15.0,sedan,24,59.0,24,NAN,0
142,4,8.0,22.0,suv,54,53.0,30.0,11,0
142,5,10.0,17.0,small,16,43.0,16,11,0
142,6,8.0,19.0,sedan,24,50.0,21.0,11,0
142,7,6.0,16.0,small,16,19.0,7.0,11,0
142,8,11.0,16.0,suv,54,58.0,33.0,11,0
142,9,7.0,17.0,truck,70,29.0,24.0,11,0
142,10,11.0,20.0,truck,70,58.0,47.0,NAN,0
143,1,10.0,19.0,suv,54,25.0,14.0,11,0
143,2,6.0,19.0,sedan,24,39.0,17.0,11,0
143,3,8.0,15.0,sedan,24,59.0,24,NAN,0
143,4,8.0,22.0,suv,54,53.0,30.0,11,0
143,5,10.0,17.0,small,16,43.0,16,11,0
143,6,8.0,19.0,sedan,24,50.0,21.0,11,0
143,7,6.0,16.0,small,16,19.0,7.0,11,0
143,8,11.0,16.0,suv,54,58.0,33.0,11,0
143,9,7.0,17.0,truck,70,29.0,24.0,11,0
143,10,11.0,20.0,truck,70,58.0,47.0,NAN,0
144,1,10.0,19.0,suv,54,25.0,14.0,11,0
144,2,6.0,19.0,sedan,24,39.0,17.0,11,0
144,3,8.0,15.0,sedan,24,59.0,24,NAN,0
144,4,8.0,22.0,suv,54,53.0,30.0,11,0
144,5,10.0,17.0,small,16,43.0,16,11,0
144,6,8.0,19.0,sedan,24,50.0,21.0,11,0
144,7,6.0,16.0,small,16,19.0,7.0,11,0
144,8,11.0,16.0,suv,54,58.0,33.0,11,0
144,9,7.0,17.0,truck,70,29.0,24.0,11,0
144,10,11.0,20.0,truck,70,58.0,47.0,NAN,0
145,1,10.0,19.0,suv,54,25.0,14.0,11,0
145,2,6.0,19.0,sedan,24,39.0,17.0,11,0
145,3,8.0,15.0,sedan,24,59.0,24,NAN,0
145,4,8.0,22.0,suv,54,53.0,30.0,11,0
145,5,10.0,17.0,small,16,43.0,16,11,0
145,6,8.0,19.0,sedan,24,50.0,21.0,11,0
145,7,6.0,16.0,small,16,19.0,7.0,11,0
145,8,11.0,16.0,suv,54,58.0,33.0,11,0
145,9,7.0,17.0,truck,70,29.0,24.0,11,0
145,10,11.0,20.0,truck,70,58.0,47.0,NAN,0
146,1,10.0,19.0,suv,54,25.0,14.0,11,0
146,2,6.0,19.0,sedan,24,39.0,17.0,11,0
146,3,8.0,15.0,sedan,24,59.0,24,NAN,0
146,4,8.0,22.0,suv,54,53.0,30.0,11,0
146,5,10.0,17.0,small,16,43.0,16,11,0
146,6,8.0,19.0,sedan,24,50.0,21.0,11,0
146,7,6.0,16.0,small,16,19.0,7.0,11,0
146,8,11.0,16.0,suv,54,58.0,33.0,11,0
146,9,7.0,17.0,truck,70,29.0,24.0,11,0
146,10,11.0,20.0,truck,70,58.0,47.0,NAN,0
147,1,10.0,19.0,suv,54,25.0,14.0,11,0
147,2,6.0,19.0,sedan,24,39.0,17.0,11,0
147,3,8.0,15.0,sedan,24,59.0,24,NAN,0
147,4,8.0,22.0,suv,54,53.0,30.0,11,0
147,5,10.0,17.0,small,16,43.0,16,11,0
147,6,8.0,19.0,sedan,24,50.0,21.0,11,0
147,7,6.0,16.0,small,16,19.0,7.0,11,0
147,8,11.0,16.0,suv,54,58.0,33.0,11,0
147,9,7.0,17.0,truck,70,29.0,24.0,11,0
147,10,11.0,20.0,truck,70,58.0,47.0,NAN,0
148,1,10.0,19.0,suv,54,25.0,14.0,11,0
148,2,6.0,19.0,sedan,24,39.0,17.0,11,0
148,3,8.0,15.0,sedan,24,59.0,24,NAN,0
148,4,8.0,22.0,suv,54,53.0,30.0,11,0
148,5,10.0,17.0,small,16,43.0,16,11,0
148,6,8.0,19.0,sedan,24,50.0,21.0,11,0
148,7,6.0,16.0,small,16,19.0,7.0,11,0
148,8,11.0,16.0,suv,54,58.0,33.0,11,0
148,9,7.0,17.0,truck,70,29.0,24.0,11,0
148,10,11.0,20.0,truck,70,58.0,47.0,NAN,0
149,1,10.0,19.0,suv,54,25.0,14.0,11,0
149,2,6.0,19.0,sedan,24,39.0,17.0,11,0
149,3,8.0,15.0,sedan,24,59.0,24,NAN,0
149,4,8.0,22.0,suv,54,53.0,30.0,11,0
149,5,10.0,17.0,small,16,43.0,16,11,0
149,6,8.0,19.0,sedan,24,50.0,21.0,11,0
149,7,6.0,16.0,small,16,19.0,7.0,11,0
149,8,11.0,16.0,suv,54,58.0,33.0,11,0
149,9,7.0,17.0,truck,70,29.0,24.0,11,0
149,10,11.0,20.0,truck,70,58.0,47.0,NAN,0
150,1,10.0,19.0,suv,54,25.0,14.0,11,0
150,2,6.0,19.0,sedan,24,39.0,17.0,11,0
150,3,8.0,15.0,sedan,24,59.0,24,NAN,0
150,4,8.0,22.0,suv,54,53.0,30.0,11,0
150,5,10.0,17.0,small,16,43.0,16,11,0
150,6,8.0,19.0,sedan,24,50.0,21.0,11,0
150,7,6.0,16.0,small,16,19.0,7.0,11,0
150,8,11.0,16.0,suv,54,58.0,33.0,11,0
150,9,7.0,17.0,truck,70,29.0,24.0,11,0
150,10,11.0,20.0,truck,70,58.0,47.0,NAN,0
151,1,10.0,19.0,suv,54,25.0,14.0,11,0
151,2,6.0,19.0,sedan,24,39.0,17.0,11,0
151,3,8.0,15.0,sedan,24,59.0,24,NAN,0
151,4,8.0,22.0,suv,54,53.0,30.0,11,0
151,5,10.0,17.0,small,16,43.0,16,11,0
151,6,8.0,19.0,sedan,24,50.0,21.0,11,0
151,7,6.0,16.0,small,16,19.0,7.0,11,0
151,8,11.0,16.0,suv,54,58.0,33.0,11,0
151,9,7.0,17.0,truck,70,29.0,24.0,11,0
151,10,11.0,20.0,truck,70,58.0,47.0,NAN,0
152,1,10.0,19.0,suv,54,25.0,14.0,11,0
152,2,6.0,19.0,sedan,24,39.0,17.0,11,0
152,3,8.0,15.0,sedan,24,59.0,24,NAN,0
152,4,8.0,22.0,suv,54,53.0,30.0,11,0
152,5,10.0,17.0,small,16,43.0,16,11,0
152,6,8.0,19.0,sedan,24,50.0,21.0,11,0
152,7,6.0,16.0,small,16,19.0,7.0,11,0
152,8,11.0,16.0,suv,54,58.0,33.0,11,0
152,9,7.0,17.0,truck,70,29.0,24.0,11,0
152,10,11.0,20.0,truck,70,58.0,47.0,NAN,0
153,1,10.0,19.0,suv,54,25.0,14.0,11,0
153,2,6.0,19.0,sedan,24,39.0,17.0,11,0
153,3,8.0,15.0,sedan,24,59.0,24,NAN,0
153,4,8.0,22.0,suv,54,53.0,30.0,11,0
153,5,10.0,17.0,small,16,43.0,16,11,0
153,6,8.0,19.0,sedan,24,50.0,21.0,11,0
153,7,6.0,16.0,small,16,19.0,7.0,11,0
153,8,11.0,16.0,suv,54,58.0,33.0,11,0
153,9,7.0,17.0,truck,70,29.0,24.0,11,0
153,10,11.0,20.0,truck,70,58.0,47.0,NAN,0
154,1,10.0,19.0,suv,54,25.0,14.0,11,0
154,2,6.0,19.0,sedan,24,39.0,17.0,11,0
154,3,8.0,15.0,sedan,24,59.0,24,NAN,0
154,4,8.0,22.0,suv,54,53.0,30.0,11,0
154,5,10.0,17.0,small,16,43.0,16,11,0
154,6,8.0,19.0,sedan,24,50.0,21.0,11,0
154,7,6.0,16.0,small,16,19.0,7.0,11,0
154,8,11.0,16.0,suv,54,58.0,33.0,11,0
154,9,7.0,17.0,truck,70,29.0,24.0,11,0
154,10,11.0,20.0,truck,70,58.0,47.0,NAN,0
155,1,10.0,19.0,suv,54,25.0,14.0,11,0
155,2,6.0,19.0,sedan,24,39.0,17.0,11,0
155,3,8.0,15.0,sedan,24,59.0,24,NAN,0
155,4,8.0,22.0,suv,54,53.0,30.0,11,0
155,5,10.0,17.0,small,16,43.0,16,11,0
155,6,8.0,19.0,sedan,24,50.0,21.0,11,0
155,7,6.0,16.0,small,16,19.0,7.0,11,0
155,8,11.0,16.0,suv,54,58.0,33.0,11,0
155,9,7.0,17.0,truck,70,29.0,24.0,11,0
155,10,11.0,20.0,truck,70,58.0,47.0,NAN,0
156,1,10.0,19.0,suv,54,25.0,14.0,11,0
156,2,6.0,19.0,sedan,24,39.0,17.0,11,0
156,3,8.0,15.0,sedan,24,59.0,24,NAN,0
156,4,8.0,22.0,suv,54,53.0,30.0,11,0
156,5,10.0,17.0,small,16,43.0,16,11,0
156,6,8.0,19.0,sedan,24,50.0,21.0,11,0
156,7,6.0,16.0,small,16,19.0,7.0,11,0
156,8,11.0,16.0,suv,54,58.0,33.0,11,0
156,9,7.0,17.0,truck,70,29.0,24.0,11,0
156,10,11.0,20.0,truck,70,58.0,47.0,NAN,0
157,1,10.0,19.0,suv,54,25.0,14.0,11,0
157,2,6.0,19.0,sedan,24,39.0,17.0,11,0
157,3,8.0,15.0,sedan,24,59.0,24,NAN,0
157,4,8.0,22.0,suv,54,53.0,30.0,11,0
157,5,10.0,17.0,small,16,43.0,16,11,0
157,6,8.0,19.0,sedan,24,50.0,21.0,11,0
157,7,6.0,16.0,small,16,19.0,7.0,11,0
157,8,11.0,16.0,suv,54,58.0,33.0,11,0
157,9,7.0,17.0,truck,70,29.0,24.0,11,0
157,10,11.0,20.0,truck,70,58.0,47.0,NAN,0
158,1,10.0,19.0,suv,54,25.0,14.0,11,0
158,2,6.0,19.0,sedan,24,39.0,17.0,11,0
158,3,8.0,15.0,sedan,24,59.0,24,NAN,0
158,4,8.0,22.0,suv,54,53.0,30.0,11,0
158,5,10.0,17.0,small,16,43.0,16,11,0
158,6,8.0,19.0,sedan,24,50.0,21.0,11,0
158,7,6.0,16.0,small,16,19.0,7.0,11,0
158,8,11.0,16.0,suv,54,58.0,33.0,11,0
158,9,7.0,17.0,truck,70,29.0,24.0,11,0
158,10,11.0,20.0,truck,70,58.0,47.0,NAN,0
159,1,10.0,19.0,suv,54,25.0,14.0,11,0
159,2,6.0,19.0,sedan,24,39.0,17.0,11,0
159,3,8.0,15.0,sedan,24,59.0,24,NAN,0
159,4,8.0,22.0,suv,54,53.0,30.0,11,0
159,5,10.0,17.0,small,16,43.0,16,11,0
159,6,8.0,19.0,sedan,24,50.0,21.0,11,0
159,7,6.0,16.0,small,16,19.0,7.0,11,0
159,8,11.0,16.0,suv,54,58.0,33.0,11,0
159,9,7.0,17.0,truck,70,29.0,24.0,11,0
159,10,11.0,20.0,truck,70,58.0,47.0,NAN,0
160,1,10.0,19.0,suv,54,25.0,14.0,11,0
160,2,6.0,19.0,sedan,24,39.0,17.0,11,0
160,3,8.0,15.0,sedan,24,59.0,24,NAN,0
160,4,8.0,22.0,suv,54,53.0,30.0,11,0
160,5,10.0,17.0,small,16,43.0,16,11,0
160,6,8.0,19.0,sedan,24,50.0,21.0,11,0
160,7,6.0,16.0,small,16,19.0,7.0,11,0
160,8,11.0,16.0,suv,54,58.0,33.0,11,0
160,9,7.0,17.0,truck,70,29.0,24.0,11,0
160,10,11.0,20.0,truck,70,58.0,47.0,NAN,0
161,1,10.0,19.0,suv,54,25.0,14.0,11,0
161,2,6.0,19.0,sedan,24,39.0,17.0,11,0
161,3,8.0,15.0,sedan,24,59.0,24,NAN,0
161,4,8.0,22.0,suv,54,53.0,30.0,11,0
161,5,10.0,17.0,small,16,43.0,16,11,0
161,6,8.0,19.0,sedan,24,50.0,21.0,11,0
161,7,6.0,16.0,small,16,19.0,7.0,11,0
161,8,11.0,16.0,suv,54,58.0,33.0,11,0
161,9,7.0,17.0,truck,70,29.0,24.0,11,0
161,10,11.0,20.0,truck,70,58.0,47.0,NAN,0
162,1,10.0,19.0,suv,54,25.0,14.0,11,0
162,2,6.0,19.0,sedan,24,39.0,17.0,11,0
162,3,8.0,15.0,sedan,24,59.0,24,NAN,0
162,4,8.0,22.0,suv,54,53.0,30.0,11,0
162,5,10.0,17.0,small,16,43.0,16,11,0
162,6,8.0,19.0,sedan,24,50.0,21.0,11,0
162,7,6.0,16.0,small,16,19.0,7.0,11,0
162,8,11.0,16.0,suv,54,58.0,33.0,11,0
162,9,7.0,17.0,truck,70,29.0,24.0,11,0
162,10,11.0,20.0,truck,70,58.0,47.0,NAN,0
163,1,10.0,19.0,suv,54,25.0,14.0,11,0
163,2,6.0,19.0,sedan,24,39.0,17.0,11,0
163,3,8.0,15.0,sedan,24,59.0,24,NAN,0
163,4,8.0,22.0,suv,54,53.0,30.0,11,0
163,5,10.0,17.0,small,16,43.0,16,11,0
163,6,8.0,19.0,sedan,24,50.0,21.0,11,0
163,7,6.0,16.0,small,16,19.0,7.0,11,0
163,8,11.0,16.0,suv,54,58.0,33.0,11,0
163,9,7.0,17.0,truck,70,29.0,24.0,11,0
163,10,11.0,20.0,truck,70,58.0,47.0,NAN,0
164,1,10.0,19.0,suv,54,25.0,14.0,11,0
164,2,6.0,19.0,sedan,24,39.0,17.0,11,0
164,3,8.0,15.0,sedan,24,59.0,24,NAN,0
164,4,8.0,22.0,suv,54,53.0,30.0,11,0
164,5,10.0,17.0,small,16,43.0,16,11,0
164,6,8.0,19.0,sedan,24,50.0,21.0,11,0
164,7,6.0,16.0,small,16,19.0,7.0,11,0
164,8,11.0,16.0,suv,54,58.0,33.0,11,0
164,9,7.0,17.0,truck,70,29.0,24.0,11,0
164,10,11.0,20.0,truck,70,58.0,47.0,NAN,0
165,1,10.0,19.0,suv,54,25.0,14.0,11,0
165,2,6.0,19.0,sedan,24,39.0,17.0,11,0
165,3,8.0,15.0,sedan,24,59.0,24,NAN,0
165,4,8.0,22.0,suv,54,53.0,30.0,11,0
165,5,10.0,17.0,small,16,43.0,16,11,0
165,6,8.0,19.0,sedan,24,50.0,21.0,11,0
165,7,6.0,16.0,small,16,19.0,7.0,11,0
165,8,11.0,16.0,suv,54,58.0,33.0,11,0
165,9,7.0,17.0,truck,70,29.0,24.0,11,0
165,10,11.0,20.0,truck,70,58.0,47.0,NAN,0
166,1,10.0,19.0,suv,54,25.0,14.0,11,0
166,2,6.0,19.0,sedan,24,39.0,17.0,11,0
166,3,8.0,15.0,sedan,24,59.0,24,NAN,0
166,4,8.0,22.0,suv,54,53.0,30.0,11,0
166,5,10.0,17.0,small,16,43.0,16,11,0
166,6,8.0,19.0,sedan,24,50.0,21.0,11,0
166,7,6.0,16.0,small,16,19.0,7.0,11,0
166,8,11.0,16.0,suv,54,58.0,33.0,11,0
166,9,7.0,17.0,truck,70,29.0,24.0,11,0
166,10,11.0,20.0,truck,70,58.0,47.0,NAN,0
167,1,10.0,19.0,suv,54,25.0,14.0,11,0
167,2,6.0,19.0,sedan,24,39.0,17.0,11,0
167,3,8.0,15.0,sedan,24,59.0,24,NAN,0
167,4,8.0,22.0,suv,54,53.0,30.0,11,0
167,5,10.0,17.0,small,16,43.0,16,11,0
167,6,8.0,19.0,sedan,24,50.0,21.0,11,0
167,7,6.0,16.0,small,16,19.0,7.0,11,0
167,8,11.0,16.0,suv,54,58.0,33.0,11,0
167,9,7.0,17.0,truck,70,29.0,24.0,11,0
167,10,11.0,20.0,truck,70,58.0,47.0,NAN,0
168,1,10.0,19.0,suv,54,25.0,14.0,11,0
168,2,6.0,19.0,sedan,24,39.0,17.0,11,0
168,3,8.0,15.0,sedan,24,59.0,24,NAN,0
168,4,8.0,22.0,suv,54,53.0,30.0,11,0
168,5,10.0,17.0,small,16,43.0,16,11,0
168,6,8.0,19.0,sedan,24,50.0,21.0,11,0
168,7,6.0,16.0,small,16,19.0,7.0,11,0
168,8,11.0,16.0,suv,54,58.0,33.0,11,0
168,9,7.0,17.0,truck,70,29.0,24.0,11,0
168,10,11.0,20.0,truck,70,58.0,47.0,NAN,0
169,1,10.0,19.0,suv,54,25.0,14.0,11,0
169,2,6.0,19.0,sedan,24,39.0,17.0,11,0
169,3,8.0,15.0,sedan,24,59.0,24,NAN,0
169,4,8.0,22.0,suv,54,53.0,30.0,11,0
169,5,10.0,17.0,small,16,43.0,16,11,0
169,6,8.0,19.0,sedan,24,50.0,21.0,11,0
169,7,6.0,16.0,small,16,19.0,7.0,11,0
169,8,11.0,16.0,suv,54,58.0,33.0,11,0
169,9,7.0,17.0,truck,70,29.0,24.0,11,0
